bus_reg,depot
DL1PD2847,dichaon kalan1
DL1PD2602,dichaon kalan1
DL1PD2581,dichaon kalan1
DL1PD2760,dichaon kalan1
DL1PD3031,dichaon kalan1
DL1PD2785,dichaon kalan1
DL1PD2906,dichaon kalan1
DL1PD2623,dichaon kalan1
DL1PD3025,dichaon kalan1
DL1PD2554,dichaon kalan1
DL1PD3038,dichaon kalan1
DL1PD3423,dichaon kalan1
DL1PD2613,dichaon kalan1
DL1PD2629,dichaon kalan1
DL1PD2836,dichaon kalan1
DL1PD2508,dichaon kalan1
DL1PD3381,dichaon kalan1
DL1PD2530,dichaon kalan1
DL1PD2654,dichaon kalan1
DL1PD2557,dichaon kalan1
DL1PD2699,dichaon kalan1
DL1PD2710,dichaon kalan1
DL1PD3214,dichaon kalan1
DL1PD2765,dichaon kalan1
DL1PD2855,dichaon kalan1
DL1PD2625,dichaon kalan1
DL1PD2658,dichaon kalan1
DL1PD2969,dichaon kalan1
DL1PD2925,dichaon kalan1
DL1PD3215,dichaon kalan1
DL1PD3020,dichaon kalan1
DL1PD3027,dichaon kalan1
DL1PD2534,dichaon kalan1
DL1PD2986,dichaon kalan1
DL1PD2868,dichaon kalan1
DL1PD2614,dichaon kalan1
DL1PD3272,dichaon kalan1
DL1PD2568,dichaon kalan1
DL1PD2708,dichaon kalan1
DL1PD2649,dichaon kalan1
DL1PD2761,dichaon kalan1
DL1PD2719,dichaon kalan1
DL1PD2750,dichaon kalan1
DL1PD3007,dichaon kalan1
DL1PD2983,dichaon kalan1
DL1PD3212,dichaon kalan1
DL1PD3229,dichaon kalan1
DL1PD2797,dichaon kalan1
DL1PD2987,dichaon kalan1
DL1PD2741,dichaon kalan1
DL1PD2935,dichaon kalan1
DL1PD3201,dichaon kalan1
DL1PD2596,dichaon kalan1
DL1PD2615,dichaon kalan1
DL1PD2981,dichaon kalan1
DL1PD2835,dichaon kalan1
DL1PD2325,dichaon kalan1
DL1PD2586,dichaon kalan1
DL1PD2672,dichaon kalan1
DL1PD3071,dichaon kalan1
DL1PD2709,dichaon kalan1
DL1PD2493,dichaon kalan1
DL1PD2725,dichaon kalan1
DL1PD2377,dichaon kalan1
DL1PD2549,dichaon kalan1
DL1PD2702,dichaon kalan1
DL1PD2300,dichaon kalan1
DL1PD3041,dichaon kalan1
DL1PD2880,dichaon kalan1
DL1PD2548,dichaon kalan1
DL1PD2749,dichaon kalan1
DL1PD2533,dichaon kalan1
DL1PD2816,dichaon kalan1
DL1PD2429,dichaon kalan1
DL1PD2762,dichaon kalan1
DL1PD2591,dichaon kalan1
DL1PD2961,dichaon kalan1
DL1PD2487,dichaon kalan1
DL1PD2712,dichaon kalan1
DL1PD2640,dichaon kalan1
DL1PD2999,dichaon kalan1
DL1PD2819,dichaon kalan1
DL1PD2292,dichaon kalan1
DL1PD2374,dichaon kalan1
DL1PD2998,dichaon kalan1
DL1PD2306,dichaon kalan1
DL1PD2735,dichaon kalan1
DL1PD2817,dichaon kalan1
DL1PD2577,dichaon kalan1
DL1PD2334,dichaon kalan1
DL1PD2594,dichaon kalan1
DL1PD2642,dichaon kalan1
DL1PD2627,dichaon kalan1
DL1PD2484,dichaon kalan1
DL1PD2574,dichaon kalan1
DL1PD2766,dichaon kalan1
DL1PD2707,dichaon kalan1
DL1PD2573,dichaon kalan1
DL1PD3073,dichaon kalan1
DL1PD2944,dichaon kalan1
DL1PD2582,dichaon kalan1
DL1PD2854,dichaon kalan1
DL1PD2607,dichaon kalan1
DL1PD2693,dichaon kalan1
DL1PD2367,dichaon kalan1
DL1PD2303,dichaon kalan1
DL1PD2363,dichaon kalan1
DL1PD2454,dichaon kalan1
DL1PD2915,dichaon kalan1
DL1PD2648,dichaon kalan1
DL1PD2698,dichaon kalan1
DL1PD2524,dichaon kalan1
DL1PD2365,dichaon kalan1
DL1PD2877,dichaon kalan1
DL1PD2738,dichaon kalan1
DL1PD2326,dichaon kalan1
DL1PD2685,dichaon kalan1
DL1PD2787,dichaon kalan1
DL1PD2843,dichaon kalan1
DL1PD2890,dichaon kalan1
DL1PD2583,dichaon kalan1
DL1PD2721,dichaon kalan1
DL1PD3218,dichaon kalan1
DL1PD2742,dichaon kalan1
DL1PD2849,dichaon kalan1
DL1PD2857,dichaon kalan1
DL1PD2480,dichaon kalan1
DL1PD2589,dichaon kalan1
DL1PD2997,dichaon kalan1
DL1PD2495,dichaon kalan1
DL1PD2628,dichaon kalan1
DL1PD2683,dichaon kalan1
DL1PD2510,dichaon kalan1
DL1PD2489,dichaon kalan1
DL1PD3078,dichaon kalan1
DL1PD2878,dichaon kalan1
DL1PD2400,dichaon kalan1
DL1PD2505,dichaon kalan1
DL1PD2959,dichaon kalan1
DL1PD3700,dilshad garden
DL1PC6658,dilshad garden
DL1PC6843,dilshad garden
DL1PC6940,dilshad garden
DL1PC6459,dilshad garden
DL1PC6461,dilshad garden
DL1PC6462,dilshad garden
DL1PC6473,dilshad garden
DL1PD3697,dilshad garden
DL1PC6802,dilshad garden
DL1PC6646,dilshad garden
DL1PC6860,dilshad garden
DL1PC6732,dilshad garden
DL1PD3580,dilshad garden
DL1PD3606,dilshad garden
DL1PC6685,dilshad garden
DL1PD3588,dilshad garden
DL1PD0199,dilshad garden
DL1PC6687,dilshad garden
DL1PC6874,dilshad garden
DL1PC6847,dilshad garden
DL1PC6660,dilshad garden
